"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"0373" "037.3 Injection into sympathetic nerve or ganglion : para cervical" "0373" "037.3 Injection into sympathetic nerve or ganglion : para cervical"
"039" "039 Other operation on autonomic nervous system" "039" "039 Other operation on autonomic nervous system"
"0391" "039.1 Other operation on autonomic nervous system : biopsy" "0391" "039.1 Other operation on autonomic nervous system : biopsy"
"0392" "039.2 Other operation on autonomic nervous system : extirpation" "0392" "039.2 Other operation on autonomic nervous system : extirpation"
"0393" "039.3 Other operation on autonomic nervous system : periaterial sympathetic" "0393" "039.3 Other operation on autonomic nervous system : periaterial sympathetic"
"040" "040 Neurectomy and neurotomy" "040" "040 Neurectomy and neurotomy"
"0401" "040.1 Neurectomy and neurotomy : biopsy" "0401" "040.1 Neurectomy and neurotomy : biopsy"
"0402" "040.2 Neurectomy and neurotomy : excision" "0402" "040.2 Neurectomy and neurotomy : excision"
"0403" "040.3 Neurectomy and neurotomy : section" "0403" "040.3 Neurectomy and neurotomy : section"
"041" "041 Decompression of nerve" "041" "041 Decompression of nerve"
"0411" "041.1 Decompression of nerve : carpel tunnel" "0411" "041.1 Decompression of nerve : carpel tunnel"
"0412" "041.2 Decompression of nerve : tarsal tunnel" "0412" "041.2 Decompression of nerve : tarsal tunnel"
"043" "043 Freeing of adhesions" "043" "043 Freeing of adhesions"
"0431" "043.1 Freeing of adhesions : exploration, not elsewhere classified" "0431" "043.1 Freeing of adhesions : exploration, not elsewhere classified"
"045" "045 Extirpation of lesion of peripheral nerve" "045" "045 Extirpation of lesion of peripheral nerve"
"046" "046 Neuroplasty and neurorrhaphy" "046" "046 Neuroplasty and neurorrhaphy"
"0461" "046.1 Neuroplasty and neurorrhaphy : anastomosis" "0461" "046.1 Neuroplasty and neurorrhaphy : anastomosis"
"0462" "046.2 Neuroplasty and neurorrhaphy : suture" "0462" "046.2 Neuroplasty and neurorrhaphy : suture"
"0463" "046.3 Neuroplasty and neurorrhaphy : transposition" "0463" "046.3 Neuroplasty and neurorrhaphy : transposition"
"048" "048 Injection of peripheral nerve" "048" "048 Injection of peripheral nerve"
"0481" "048.1 Injection of peripheral nerve : destructive" "0481" "048.1 Injection of peripheral nerve : destructive"
"049" "049 Other operations on peripheral nerves" "049" "049 Other operations on peripheral nerves"
"0492" "049.2 Other operations on peripheral nerves : removal of foreign body" "0492" "049.2 Other operations on peripheral nerves : removal of foreign body"
"052" "052 Operations on vessels of brain" "052" "052 Operations on vessels of brain"
"0521" "052.1 Operations on vessels of brain : clip or ligation" "0521" "052.1 Operations on vessels of brain : clip or ligation"
"0522" "052.2 Operations on vessels of brain : other operations on aneurysm nec" "0522" "052.2 Operations on vessels of brain : other operations on aneurysm nec"
"0523" "052.3 Operations on vessels of brain : excision" "0523" "052.3 Operations on vessels of brain : excision"
"053" "053 Evacuation of haematoma or cyst" "053" "053 Evacuation of haematoma or cyst"
"0531" "053.1 Evacuation of haematoma or cyst : subdural" "0531" "053.1 Evacuation of haematoma or cyst : subdural"
"0532" "053.2 Evacuation of haematoma or cyst : temporal lobe" "0532" "053.2 Evacuation of haematoma or cyst : temporal lobe"
"0533" "053.3 Evacuation of haematoma or cyst : extradural" "0533" "053.3 Evacuation of haematoma or cyst : extradural"
"054" "054 Infective lesion of brain" "054" "054 Infective lesion of brain"
"0541" "054.1 Infective lesion of brain : drainage of abscess" "0541" "054.1 Infective lesion of brain : drainage of abscess"
"055" "055 Excision of intracranial lesion" "055" "055 Excision of intracranial lesion"
"0552" "055.2 Excision of intracranial lesion : trans-sphenoidal" "0552" "055.2 Excision of intracranial lesion : trans-sphenoidal"
"0553" "055.3 Excision of intracranial lesion : infra-tentorial approach" "0553" "055.3 Excision of intracranial lesion : infra-tentorial approach"
"0554" "055.4 Excision of intracranial lesion : frontal approach" "0554" "055.4 Excision of intracranial lesion : frontal approach"
"0555" "055.5 Excision of intracranial lesion : cortical excision" "0555" "055.5 Excision of intracranial lesion : cortical excision"
"0556" "055.6 Excision of intracranial lesion : hernia" "0556" "055.6 Excision of intracranial lesion : hernia"
"057" "057 Biopsy of brain" "057" "057 Biopsy of brain"
"059" "059 Intracranial operations, not elsewhere classified" "059" "059 Intracranial operations, not elsewhere classified"
"0591" "059.1 Intracranial operations, not elsewhere classified : exploration" "0591" "059.1 Intracranial operations, not elsewhere classified : exploration"
"061" "061 Hypophysectomy" "061" "061 Hypophysectomy"
"0611" "061.1 Hypophysectomy : paranasal trans-sphenoidal" "0611" "061.1 Hypophysectomy : paranasal trans-sphenoidal"
"0612" "061.2 Hypophysectomy : intracranial trans-frontal" "0612" "061.2 Hypophysectomy : intracranial trans-frontal"
"062" "062 Destruction of pituitary gland or lesion" "062" "062 Destruction of pituitary gland or lesion"
"063" "063 Other operations related to pituitary or pineal gland" "063" "063 Other operations related to pituitary or pineal gland"
"0631" "063.1 Other operations related to pituitary or pineal gland : pituitary stalk" "0631" "063.1 Other operations related to pituitary or pineal gland : pituitary stalk"
"0633" "063.3 Other operations related to pituitary or pineal gland : pineal" "0633" "063.3 Other operations related to pituitary or pineal gland : pineal"
"065" "065 Partial adrenalectomy" "065" "065 Partial adrenalectomy"
"066" "066 Excision of adrenal gland, not otherwise classified" "066" "066 Excision of adrenal gland, not otherwise classified"
"067" "067 Bilateral adrenalectomy" "067" "067 Bilateral adrenalectomy"
"068" "068 Bilateral adrenalectomy and oophorectomy" "068" "068 Bilateral adrenalectomy and oophorectomy"
"069" "069 Other operations on adrenal gland" "069" "069 Other operations on adrenal gland"
"0691" "069.1 Other operations on adrenal gland : biopsy" "0691" "069.1 Other operations on adrenal gland : biopsy"
"070" "070 Incision of thyroid field" "070" "070 Incision of thyroid field"
"071" "071 Partial thyroidectomy" "071" "071 Partial thyroidectomy"
"0711" "071.1 Partial thyroidectomy : biopsy" "0711" "071.1 Partial thyroidectomy : biopsy"
"0712" "071.2 Partial thyroidectomy : nodule" "0712" "071.2 Partial thyroidectomy : nodule"
"0713" "071.3 Partial thyroidectomy : isthmectomy" "0713" "071.3 Partial thyroidectomy : isthmectomy"
"0714" "071.4 Partial thyroidectomy : isthmectomy" "0714" "071.4 Partial thyroidectomy : isthmectomy"
"0715" "071.5 Partial thyroidectomy : lobectomy" "0715" "071.5 Partial thyroidectomy : lobectomy"
"0716" "071.6 Partial thyroidectomy : hemithyroidectomy" "0716" "071.6 Partial thyroidectomy : hemithyroidectomy"
"072" "072 Thyroidectomy, not elsewhere classified" "072" "072 Thyroidectomy, not elsewhere classified"
"0721" "072.1 Thyroidectomy, not elsewhere classified : total thyroidectomy" "0721" "072.1 Thyroidectomy, not elsewhere classified : total thyroidectomy"
"0722" "072.2 Thyroidectomy, not elsewhere classified : with wide block dissection" "0722" "072.2 Thyroidectomy, not elsewhere classified : with wide block dissection"
"074" "074 Thyroidectomy of aberrant thyroid" "074" "074 Thyroidectomy of aberrant thyroid"
"0741" "074.1 Thyroidectomy of aberrant thyroid : substernal thyroid" "0741" "074.1 Thyroidectomy of aberrant thyroid : substernal thyroid"
"075" "075 Other operations on thyroid gland" "075" "075 Other operations on thyroid gland"
"0751" "075.1 Other operations on thyroid gland : biopsy, retrosternal" "0751" "075.1 Other operations on thyroid gland : biopsy, retrosternal"
"076" "076 Operations on parathyroid glands" "076" "076 Operations on parathyroid glands"
"0761" "076.1 Operations on parathyroid glands : biopsy" "0761" "076.1 Operations on parathyroid glands : biopsy"
"0763" "076.3 Operations on parathyroid glands : partial parathyroidectomy" "0763" "076.3 Operations on parathyroid glands : partial parathyroidectomy"
"0764" "076.4 Operations on parathyroid glands : global parathyroidectomy" "0764" "076.4 Operations on parathyroid glands : global parathyroidectomy"
"0765" "076.5 Operations on parathyroid glands : transplant" "0765" "076.5 Operations on parathyroid glands : transplant"
"077" "077 Thymectomy" "077" "077 Thymectomy"
"078" "078 Other operations on thymus" "078" "078 Other operations on thymus"
"079" "079 Other glandular operations, not elsewhere classified" "079" "079 Other glandular operations, not elsewhere classified"
"0792" "079.2 Other glandular operations, not elsewhere classified : carotid body" "0792" "079.2 Other glandular operations, not elsewhere classified : carotid body"
"0793" "079.3 Other glandular operations, not elsewhere classified : other vascular bodies" "0793" "079.3 Other glandular operations, not elsewhere classified : other vascular bodies"
"0794" "079.4 Other glandular operations, not elsewhere classified : aortic bodies" "0794" "079.4 Other glandular operations, not elsewhere classified : aortic bodies"
"080" "080 Excision of cervical lymph nodes" "080" "080 Excision of cervical lymph nodes"
"0801" "080.1 Excision of cervical lymph nodes : biopsy (scalene node)" "0801" "080.1 Excision of cervical lymph nodes : biopsy (scalene node)"
"0802" "080.2 Excision of cervical lymph nodes : block dissection" "0802" "080.2 Excision of cervical lymph nodes : block dissection"
"0803" "080.3 Excision of cervical lymph nodes : radical cervical" "0803" "080.3 Excision of cervical lymph nodes : radical cervical"
"0806" "080.6 Excision of cervical lymph nodes : simple excision" "0806" "080.6 Excision of cervical lymph nodes : simple excision"
"081" "081 Removal of cervical rib" "081" "081 Removal of cervical rib"
"082" "082 Operations on arteries in neck, not elsewhere classified" "082" "082 Operations on arteries in neck, not elsewhere classified"
"0822" "082.2 Operations on arteries in neck, not elsewhere classified : embolectomy" "0822" "082.2 Operations on arteries in neck, not elsewhere classified : embolectomy"
"0823" "082.3 Operations on arteries in neck, not elsewhere classified : resection with graft" "0823" "082.3 Operations on arteries in neck, not elsewhere classified : resection with graft"
"0824" "082.4 Operations on arteries in neck, not elsewhere classified : bypass graft" "0824" "082.4 Operations on arteries in neck, not elsewhere classified : bypass graft"
"0825" "082.5 Operations on arteries in neck, not elsewhere classified : implantation of graft" "0825" "082.5 Operations on arteries in neck, not elsewhere classified : implantation of graft"
"0826" "082.6 Operations on arteries in neck, not elsewhere classified : resection with reanastomosis" "0826" "082.6 Operations on arteries in neck, not elsewhere classified : resection with reanastomosis"
"0827" "082.7 Operations on arteries in neck, not elsewhere classified : suture of vessel" "0827" "082.7 Operations on arteries in neck, not elsewhere classified : suture of vessel"
"083" "083 Perfusion of head and neck" "083" "083 Perfusion of head and neck"
"084" "084 Cerebral arteriography" "084" "084 Cerebral arteriography"
"085" "085 Excision of cyst or fistula" "085" "085 Excision of cyst or fistula"
"0851" "085.1 Excision of cyst or fistula : incision thyroglossal tract or duct" "0851" "085.1 Excision of cyst or fistula : incision thyroglossal tract or duct"
"0852" "085.2 Excision of cyst or fistula : excision thyroglossal tract or duct" "0852" "085.2 Excision of cyst or fistula : excision thyroglossal tract or duct"
"0853" "085.3 Excision of cyst or fistula : incision branchial cleft, sinus or fistula" "0853" "085.3 Excision of cyst or fistula : incision branchial cleft, sinus or fistula"
"0854" "085.4 Excision of cyst or fistula : excision branchial cleft, sinus or fistula" "0854" "085.4 Excision of cyst or fistula : excision branchial cleft, sinus or fistula"
"089" "089 Other operations in neck region, not elsewhere classified" "089" "089 Other operations in neck region, not elsewhere classified"
"0891" "089.1 Other operations in neck region, not elsewhere classified : drainage of abscess" "0891" "089.1 Other operations in neck region, not elsewhere classified : drainage of abscess"
"0892" "089.2 Other operations in neck region, not elsewhere classified : ligation of vein venous anastomsis" "0892" "089.2 Other operations in neck region, not elsewhere classified : ligation of vein venous anastomsis"
"0893" "089.3 Other operations in neck region, not elsewhere classified : catheterization of vessel, not elsewhere" "0893" "089.3 Other operations in neck region, not elsewhere classified : catheterization of vessel, not elsewhere"
"1" "1 Operations on thoracic duct" "1" "1 Operations on thoracic duct"
"100" "100 Orbitotomy" "100" "100 Orbitotomy"
"1001" "100.1 Orbitotomy : biopsy of orbit" "1001" "100.1 Orbitotomy : biopsy of orbit"
"1002" "100.2 Orbitotomy : abscess, haematoma" "1002" "100.2 Orbitotomy : abscess, haematoma"
"1003" "100.3 Orbitotomy : removal of foreign body" "1003" "100.3 Orbitotomy : removal of foreign body"
"101" "101 Exenteration of orbit, not elsewhere classified" "101" "101 Exenteration of orbit, not elsewhere classified"
"102" "102 Repair of socket" "102" "102 Repair of socket"
"103" "103 Removal of eyeball" "103" "103 Removal of eyeball"
"104" "104 Evisceration of contents of eyeball" "104" "104 Evisceration of contents of eyeball"
"107" "107 Extirpation of lesion of eye or orbit, not elsewhere classified" "107" "107 Extirpation of lesion of eye or orbit, not elsewhere classified"
"108" "108 Orbital implant" "108" "108 Orbital implant"
"1081" "108.1 Orbital implant : insertion or removal of implant" "1081" "108.1 Orbital implant : insertion or removal of implant"
"1082" "108.2 Orbital implant : re-insertion" "1082" "108.2 Orbital implant : re-insertion"
"109" "109 Other operation on orbit" "109" "109 Other operation on orbit"
"1091" "109.1 Other operation on orbit : injection" "1091" "109.1 Other operation on orbit : injection"
"1094" "109.4 Other operation on orbit : open reduction of orbital fracture" "1094" "109.4 Other operation on orbit : open reduction of orbital fracture"
"110" "110 Tenotomy or myotomy, eye muscle" "110" "110 Tenotomy or myotomy, eye muscle"
"1101" "110.1 Tenotomy or myotomy, eye muscle : oblique muscles" "1101" "110.1 Tenotomy or myotomy, eye muscle : oblique muscles"
"1102" "110.2 Tenotomy or myotomy, eye muscle : superior or inferior recti" "1102" "110.2 Tenotomy or myotomy, eye muscle : superior or inferior recti"
"112" "112 Resection or shortening, eye muscle" "112" "112 Resection or shortening, eye muscle"
"1121" "112.1 Resection or shortening, eye muscle : medial" "1121" "112.1 Resection or shortening, eye muscle : medial"
"1122" "112.2 Resection or shortening, eye muscle : lateral rectus" "1122" "112.2 Resection or shortening, eye muscle : lateral rectus"
"1123" "112.3 Resection or shortening, eye muscle : shortening of superior oblique" "1123" "112.3 Resection or shortening, eye muscle : shortening of superior oblique"
"113" "113 Advancement and recession of eye muscle, not elsewhere classified" "113" "113 Advancement and recession of eye muscle, not elsewhere classified"
"1131" "113.1 Advancement and recession of eye muscle, not elsewhere classified : advancement" "1131" "113.1 Advancement and recession of eye muscle, not elsewhere classified : advancement"
"1132" "113.2 Advancement and recession of eye muscle, not elsewhere classified : recession" "1132" "113.2 Advancement and recession of eye muscle, not elsewhere classified : recession"
"1133" "113.3 Advancement and recession of eye muscle, not elsewhere classified : combined resection and recession" "1133" "113.3 Advancement and recession of eye muscle, not elsewhere classified : combined resection and recession"
"1134" "113.4 Advancement and recession of eye muscle, not elsewhere classified : combined resection and advanceme" "1134" "113.4 Advancement and recession of eye muscle, not elsewhere classified : combined resection and advanceme"
"114" "114 Other operation on eye muscle" "114" "114 Other operation on eye muscle"
"1141" "114.1 Other operation on eye muscle : transplantation, not elsewhere classified" "1141" "114.1 Other operation on eye muscle : transplantation, not elsewhere classified"
"1142" "114.2 Other operation on eye muscle : muscle slide, lengthening" "1142" "114.2 Other operation on eye muscle : muscle slide, lengthening"
"1143" "114.3 Other operation on eye muscle : freeing of adhesions" "1143" "114.3 Other operation on eye muscle : freeing of adhesions"
"1144" "114.4 Other operation on eye muscle : excision of lesion" "1144" "114.4 Other operation on eye muscle : excision of lesion"
"1145" "114.5 Other operation on eye muscle : suture or repair" "1145" "114.5 Other operation on eye muscle : suture or repair"
"115" "115 Operation on oculomotor nerve" "115" "115 Operation on oculomotor nerve"
"117" "117 Correction of ptosis" "117" "117 Correction of ptosis"
"1171" "117.1 Correction of ptosis : levator muscle operation" "1171" "117.1 Correction of ptosis : levator muscle operation"
"1172" "117.2 Correction of ptosis : use of frontal is muscle" "1172" "117.2 Correction of ptosis : use of frontal is muscle"
"1173" "117.3 Correction of ptosis : sling operations" "1173" "117.3 Correction of ptosis : sling operations"
"1174" "117.4 Correction of ptosis : use of superior rectus" "1174" "117.4 Correction of ptosis : use of superior rectus"
"118" "118 Canthotomy" "118" "118 Canthotomy"
"119" "119 Canthoplasty" "119" "119 Canthoplasty"
"1192" "119.2 Canthoplasty : repair epicanthus" "1192" "119.2 Canthoplasty : repair epicanthus"
"120" "120 Blepharotomy" "120" "120 Blepharotomy"
"1201" "120.1 Blepharotomy : biopsy" "1201" "120.1 Blepharotomy : biopsy"
"1202" "120.2 Blepharotomy : drainage of abscess (hordoleum, style)" "1202" "120.2 Blepharotomy : drainage of abscess (hordoleum, style)"
"121" "121 Blepharoplasty and tarsoplasty" "121" "121 Blepharoplasty and tarsoplasty"
"1211" "121.1 Blepharoplasty and tarsoplasty : correction of ectropion" "1211" "121.1 Blepharoplasty and tarsoplasty : correction of ectropion"
"1212" "121.2 Blepharoplasty and tarsoplasty : skin, amniotic, cartilage graft" "1212" "121.2 Blepharoplasty and tarsoplasty : skin, amniotic, cartilage graft"
"1213" "121.3 Blepharoplasty and tarsoplasty : plastic operation, not elsewhere classified" "1213" "121.3 Blepharoplasty and tarsoplasty : plastic operation, not elsewhere classified"
"1214" "121.4 Blepharoplasty and tarsoplasty : reconstruction" "1214" "121.4 Blepharoplasty and tarsoplasty : reconstruction"
"1215" "121.5 Blepharoplasty and tarsoplasty : correction of entropian" "1215" "121.5 Blepharoplasty and tarsoplasty : correction of entropian"
"1216" "121.6 Blepharoplasty and tarsoplasty : grey line slit" "1216" "121.6 Blepharoplasty and tarsoplasty : grey line slit"
"122" "122 Excision of lesion of eyelid or tarsal plate, not elsewhere classified" "122" "122 Excision of lesion of eyelid or tarsal plate, not elsewhere classified"
"123" "123 Blepharorrhapy" "123" "123 Blepharorrhapy"
"126" "126 Chalazion operations" "126" "126 Chalazion operations"
"128" "128 Suture of eyelids, protective" "128" "128 Suture of eyelids, protective"
"129" "129 Other operations on eyelid" "129" "129 Other operations on eyelid"
"1293" "129.3 Other operations on eyelid : epilation of eye lash" "1293" "129.3 Other operations on eyelid : epilation of eye lash"
"131" "131 Incision of conjunctiva" "131" "131 Incision of conjunctiva"
"132" "132 Pterygium operation" "132" "132 Pterygium operation"
"1321" "132.1 Pterygium operation : with conjunctival flap" "1321" "132.1 Pterygium operation : with conjunctival flap"
"1322" "132.2 Pterygium operation : transplant" "1322" "132.2 Pterygium operation : transplant"
"134" "134 Other excision of lesion of conjunctiva" "134" "134 Other excision of lesion of conjunctiva"
"1341" "134.1 Other excision of lesion of conjunctiva : biopsy" "1341" "134.1 Other excision of lesion of conjunctiva : biopsy"
"1342" "134.2 Other excision of lesion of conjunctiva : grattage, scarification, curettage" "1342" "134.2 Other excision of lesion of conjunctiva : grattage, scarification, curettage"
"135" "135 Suture of conjunctiva" "135" "135 Suture of conjunctiva"
"136" "136 Plastic and other repair of conjunctiva" "136" "136 Plastic and other repair of conjunctiva"
"139" "139 Other operation on conjunctiva" "139" "139 Other operation on conjunctiva"
"1391" "139.1 Other operation on conjunctiva : removal of embedded foreign body" "1391" "139.1 Other operation on conjunctiva : removal of embedded foreign body"
"1392" "139.2 Other operation on conjunctiva : peritomy" "1392" "139.2 Other operation on conjunctiva : peritomy"
