"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"001" "001 Craniotomy, not elsewhere classified" "001" "001 Craniotomy, not elsewhere classified"
"0011" "001.1 Craniotomy, not elsewhere classified : burr-hole" "0011" "001.1 Craniotomy, not elsewhere classified : burr-hole"
"0012" "001.2 Craniotomy, not elsewhere classified : trephine" "0012" "001.2 Craniotomy, not elsewhere classified : trephine"
"0014" "001.4 Craniotomy, not elsewhere classified : puncture of brain" "0014" "001.4 Craniotomy, not elsewhere classified : puncture of brain"
"004" "004 Excision of lesion of skull" "004" "004 Excision of lesion of skull"
"005" "005 Cranioplasty" "005" "005 Cranioplasty"
"0051" "005.1 Cranioplasty : natural material" "0051" "005.1 Cranioplasty : natural material"
"0052" "005.2 Cranioplasty : inert material" "0052" "005.2 Cranioplasty : inert material"
"0053" "005.3 Cranioplasty : opening of sutures" "0053" "005.3 Cranioplasty : opening of sutures"
"0054" "005.4 Cranioplasty : restoration of orbital region" "0054" "005.4 Cranioplasty : restoration of orbital region"
"007" "007 Repair of cerebral meninges" "007" "007 Repair of cerebral meninges"
"0071" "007.1 Repair of cerebral meninges : lamina cribrosa fistula" "0071" "007.1 Repair of cerebral meninges : lamina cribrosa fistula"
"0072" "007.2 Repair of cerebral meninges : meningo encephalocele" "0072" "007.2 Repair of cerebral meninges : meningo encephalocele"
"008" "008 Ventricular puncture and anastomosis" "008" "008 Ventricular puncture and anastomosis"
"0081" "008.1 Ventricular puncture and anastomosis : drainage" "0081" "008.1 Ventricular puncture and anastomosis : drainage"
"0083" "008.3 Ventricular puncture and anastomosis : ventriculo-cisternostomy" "0083" "008.3 Ventricular puncture and anastomosis : ventriculo-cisternostomy"
"0084" "008.4 Ventricular puncture and anastomosis : ventriculo-vascular anastomosis" "0084" "008.4 Ventricular puncture and anastomosis : ventriculo-vascular anastomosis"
"0085" "008.5 Ventricular puncture and anastomosis : subcutaneous reservoir" "0085" "008.5 Ventricular puncture and anastomosis : subcutaneous reservoir"
"009" "009 Other operations on skull and meninges" "009" "009 Other operations on skull and meninges"
"0091" "009.1 Other operations on skull and meninges : biopsy" "0091" "009.1 Other operations on skull and meninges : biopsy"
"0092" "009.2 Other operations on skull and meninges : fractured skull" "0092" "009.2 Other operations on skull and meninges : fractured skull"
"0095" "009.5 Other operations on skull and meninges : meningeal lesion" "0095" "009.5 Other operations on skull and meninges : meningeal lesion"
"0096" "009.6 Other operations on skull and meninges : removal of foreign body" "0096" "009.6 Other operations on skull and meninges : removal of foreign body"
"013" "013 Operations on thalamus and globus pallidus" "013" "013 Operations on thalamus and globus pallidus"
"014" "014 Other division or destruction of brain tissue" "014" "014 Other division or destruction of brain tissue"
"015" "015 Ventriculography" "015" "015 Ventriculography"
"016" "016 Revision or irrigation of ventricular shunt" "016" "016 Revision or irrigation of ventricular shunt"
"017" "017 Cranial puncture, not elsewhere classified" "017" "017 Cranial puncture, not elsewhere classified"
"0171" "017.1 Cranial puncture, not elsewhere classified : needle biopsy of brain" "0171" "017.1 Cranial puncture, not elsewhere classified : needle biopsy of brain"
"0172" "017.2 Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)" "0172" "017.2 Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)"
"018" "018 Cisternal puncture" "018" "018 Cisternal puncture"
"020" "020 Laminotomy and laminectomy" "020" "020 Laminotomy and laminectomy"
"0201" "020.1 Laminotomy and laminectomy : laminotomy" "0201" "020.1 Laminotomy and laminectomy : laminotomy"
"0202" "020.2 Laminotomy and laminectomy : excision of bone (tumour)" "0202" "020.2 Laminotomy and laminectomy : excision of bone (tumour)"
"0203" "020.3 Laminotomy and laminectomy : elevation of depressed bone" "0203" "020.3 Laminotomy and laminectomy : elevation of depressed bone"
"0204" "020.4 Laminotomy and laminectomy : drainage (abscess, haematoma)" "0204" "020.4 Laminotomy and laminectomy : drainage (abscess, haematoma)"
"0205" "020.5 Laminotomy and laminectomy : opening of dura, decompression" "0205" "020.5 Laminotomy and laminectomy : opening of dura, decompression"
"0206" "020.6 Laminotomy and laminectomy : biopsy of bone" "0206" "020.6 Laminotomy and laminectomy : biopsy of bone"
"021" "021 Open reduction of fracture of spine" "021" "021 Open reduction of fracture of spine"
"0211" "021.1 Open reduction of fracture of spine : with fixation" "0211" "021.1 Open reduction of fracture of spine : with fixation"
"022" "022 Spinal fusion and bone operation" "022" "022 Spinal fusion and bone operation"
"0221" "022.1 Spinal fusion and bone operation : bone graft" "0221" "022.1 Spinal fusion and bone operation : bone graft"
"0222" "022.2 Spinal fusion and bone operation : arthroplasty of spine" "0222" "022.2 Spinal fusion and bone operation : arthroplasty of spine"
"023" "023 Operation on intervertebral disc, not elsewhere classified" "023" "023 Operation on intervertebral disc, not elsewhere classified"
"0231" "023.1 Operation on intervertebral disc, not elsewhere classified : excision" "0231" "023.1 Operation on intervertebral disc, not elsewhere classified : excision"
"0232" "023.2 Operation on intervertebral disc, not elsewhere classified : with radiculotomy" "0232" "023.2 Operation on intervertebral disc, not elsewhere classified : with radiculotomy"
"0233" "023.3 Operation on intervertebral disc, not elsewhere classified : with bone graft" "0233" "023.3 Operation on intervertebral disc, not elsewhere classified : with bone graft"
"0234" "023.4 Operation on intervertebral disc, not elsewhere classified : exploration" "0234" "023.4 Operation on intervertebral disc, not elsewhere classified : exploration"
"024" "024 Section of intraspinal nerve roots" "024" "024 Section of intraspinal nerve roots"
"0241" "024.1 Section of intraspinal nerve roots : cauda equina" "0241" "024.1 Section of intraspinal nerve roots : cauda equina"
"025" "025 Division of cord or spinal tracts" "025" "025 Division of cord or spinal tracts"
"026" "026 Extirpation of intraspinal lesion" "026" "026 Extirpation of intraspinal lesion"
"0261" "026.1 Extirpation of intraspinal lesion : extramedullary" "0261" "026.1 Extirpation of intraspinal lesion : extramedullary"
"0262" "026.2 Extirpation of intraspinal lesion : intradedullary" "0262" "026.2 Extirpation of intraspinal lesion : intradedullary"
"0263" "026.3 Extirpation of intraspinal lesion : extrusion technique" "0263" "026.3 Extirpation of intraspinal lesion : extrusion technique"
"027" "027 Repair of spinal cord and meninges" "027" "027 Repair of spinal cord and meninges"
"0275" "027.5 Repair of spinal cord and meninges : freeing of adhesions" "0275" "027.5 Repair of spinal cord and meninges : freeing of adhesions"
"028" "028 Spinal puncture" "028" "028 Spinal puncture"
"0281" "028.1 Spinal puncture : spinal myelography" "0281" "028.1 Spinal puncture : spinal myelography"
"0282" "028.2 Spinal puncture : injection of destructive agent" "0282" "028.2 Spinal puncture : injection of destructive agent"
"0283" "028.3 Spinal puncture : drainage" "0283" "028.3 Spinal puncture : drainage"
"0284" "028.4 Spinal puncture : manometry" "0284" "028.4 Spinal puncture : manometry"
"0285" "028.5 Spinal puncture : diagnostic, not elsewhere classified" "0285" "028.5 Spinal puncture : diagnostic, not elsewhere classified"
"0286" "028.6 Spinal puncture : cauda equine block" "0286" "028.6 Spinal puncture : cauda equine block"
"029" "029 Other operation on spine and contents" "029" "029 Other operation on spine and contents"
"0291" "029.1 Other operation on spine and contents : biopsy of cord or meninges" "0291" "029.1 Other operation on spine and contents : biopsy of cord or meninges"
"0292" "029.2 Other operation on spine and contents : removal of foreign body" "0292" "029.2 Other operation on spine and contents : removal of foreign body"
"0293" "029.3 Other operation on spine and contents : operation for spinal deformity" "0293" "029.3 Other operation on spine and contents : operation for spinal deformity"
"0295" "029.5 Other operation on spine and contents : aspiration (cyst, abscess)" "0295" "029.5 Other operation on spine and contents : aspiration (cyst, abscess)"
"0296" "029.6 Other operation on spine and contents : neuropacemaker, insertion" "0296" "029.6 Other operation on spine and contents : neuropacemaker, insertion"
"032" "032 Decompression of cranial nerve" "032" "032 Decompression of cranial nerve"
"034" "034 Injection of cranial nerve or ganglion" "034" "034 Injection of cranial nerve or ganglion"
"0342" "034.2 Injection of cranial nerve or ganglion : destructive" "0342" "034.2 Injection of cranial nerve or ganglion : destructive"
"035" "035 Other operations on cranial nerves and ganglia" "035" "035 Other operations on cranial nerves and ganglia"
"0351" "035.1 Other operations on cranial nerves and ganglia : avulsion" "0351" "035.1 Other operations on cranial nerves and ganglia : avulsion"
"0352" "035.2 Other operations on cranial nerves and ganglia : transection" "0352" "035.2 Other operations on cranial nerves and ganglia : transection"
"0353" "035.3 Other operations on cranial nerves and ganglia : ganglionectomy" "0353" "035.3 Other operations on cranial nerves and ganglia : ganglionectomy"
"0355" "035.5 Other operations on cranial nerves and ganglia : repair or anastomosis" "0355" "035.5 Other operations on cranial nerves and ganglia : repair or anastomosis"
"036" "036 Sympathectomy" "036" "036 Sympathectomy"
"0361" "036.1 Sympathectomy : cervical" "0361" "036.1 Sympathectomy : cervical"
"0362" "036.2 Sympathectomy : stellate" "0362" "036.2 Sympathectomy : stellate"
"0363" "036.3 Sympathectomy : lumbar" "0363" "036.3 Sympathectomy : lumbar"
"0364" "036.4 Sympathectomy : splanchnic, presacral" "0364" "036.4 Sympathectomy : splanchnic, presacral"
"037" "037 Injection into sympathetic nerve or ganglion" "037" "037 Injection into sympathetic nerve or ganglion"
"0372" "037.2 Injection into sympathetic nerve or ganglion : destructive" "0372" "037.2 Injection into sympathetic nerve or ganglion : destructive"
