"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"13" "National Cancer Intelligence Network (NCIN) Cancer Data" "13" "National Cancer Intelligence Network (NCIN) Cancer Data"
"22" "Scottish Cancer Registry (fixed width format) 2012 onwards" "22" "Scottish Cancer Registry (fixed width format) 2012 onwards"
"23" "NHS Information Centre Cancer Registry 2016 onwards" "23" "NHS Information Centre Cancer Registry 2016 onwards"
"3" "NHS Information Centre Cancer Registry 2012 onwards" "3" "NHS Information Centre Cancer Registry 2012 onwards"
"4" "Scottish Cancer Registry (fixed width format) 2012 onwards" "4" "Scottish Cancer Registry (fixed width format) 2012 onwards"
"73" "NHSD Cancer (2020- format)" "73" "NHSD Cancer (2020- format)"
"74" "PHS Enhanced cancer subset (2015-, selected records)" "74" "PHS Enhanced cancer subset (2015-, selected records)"
"75" "NRS Cancer (2018- format)" "75" "NRS Cancer (2018- format)"
