"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"-818" "Prefer not to answer" "-818" "Prefer not to answer"
"0" "Never" "0" "Never"
"1" "Less than one day a month" "1" "Less than one day a month"
"2" "One day a month" "2" "One day a month"
"3" "Two to three days a month" "3" "Two to three days a month"
"4" "One day a week" "4" "One day a week"
"5" "More than one day a week" "5" "More than one day a week"
"6" "Every day" "6" "Every day"
